u,merchant_vpa,merchant_name,category,risk_level,kyc_status
M1000,speedfuelpvt@upi,SpeedFuel Pvt,fuel,LOW,verified
M1001,xtremegamingpvt@razorpay,XtremeGaming Pvt,gaming,MEDIUM,verified
M1002,bitswapstore@razorpay,BitSwap Store,crypto,HIGH,verified
M1003,petrolpointhub@easebuzz,PetrolPoint Hub,fuel,LOW,verified
M1004,cricketbetsco@easebuzz,CricketBets Co,betting,HIGH,rejected
M1005,cryptoedgepvt@paytm,CryptoEdge Pvt,crypto,HIGH,verified
M1006,shadowmarthub@paytm,ShadowMart Hub,grocery,LOW,verified
M1007,betmasterco@razorpay,BetMaster Co,betting,HIGH,verified
M1008,offshorevaultpvt@paytm,OffshoreVault Pvt,crypto,HIGH,verified
M1009,techworldindia@easebuzz,TechWorld India,electronics,MEDIUM,verified
M1010,freshvegco@easebuzz,FreshVeg Co,grocery,LOW,verified
M1011,offshorevaultpvt1@paytm,OffshoreVault Pvt,crypto,HIGH,rejected
M1012,rapidbetindia@easebuzz,RapidBet India,betting,HIGH,verified
M1013,oilstop90@paytm,OilStop 90,fuel,LOW,verified
M1014,jetsetgo16@upi,JetSetGo 16,travel,LOW,verified
M1015,cryptonowhub@easebuzz,CryptoNow Hub,crypto,HIGH,pending
M1016,winnersbetonline@easebuzz,WinnersBet Online,betting,HIGH,rejected
M1017,techworld96@easebuzz,TechWorld 96,electronics,MEDIUM,verified
M1018,shopmartstore@easebuzz,ShopMart Store,grocery,LOW,verified
M1019,speedfuel36@paytm,SpeedFuel 36,fuel,LOW,verified
M1020,gadgetzonestore@razorpay,GadgetZone Store,electronics,MEDIUM,verified
M1021,gamershubindia@upi,GamersHub India,gaming,MEDIUM,verified
M1022,rapidbetpvt@upi,RapidBet Pvt,betting,HIGH,verified
M1023,digitalmarthub@easebuzz,DigitalMart Hub,electronics,MEDIUM,verified
M1024,cryptonowonline@easebuzz,CryptoNow Online,crypto,HIGH,rejected
M1025,winnersbet@easebuzz,WinnersBet,betting,HIGH,pending
M1026,digitalmartstore@easebuzz,DigitalMart Store,electronics,MEDIUM,pending
M1027,anonpayco@easebuzz,AnonPay Co,crypto,HIGH,verified
M1028,xtremegaming56@paytm,XtremeGaming 56,gaming,MEDIUM,verified
M1029,cryptoedgeonline@upi,CryptoEdge Online,crypto,HIGH,rejected
M1030,xtremegaming@easebuzz,XtremeGaming,gaming,MEDIUM,verified
M1031,cryptonow@paytm,CryptoNow,crypto,HIGH,pending
M1032,anonpay18@upi,AnonPay 18,crypto,HIGH,verified
M1033,bookmyflighthub@upi,BookMyFlight Hub,travel,LOW,verified
M1034,digitalmartonline@razorpay,DigitalMart Online,electronics,MEDIUM,pending
M1035,rapidbetstore@paytm,RapidBet Store,betting,HIGH,pending
M1036,xtremegaming@razorpay,XtremeGaming,gaming,MEDIUM,verified
M1037,gadgetzone@paytm,GadgetZone,electronics,MEDIUM,rejected
M1038,cricketbets@upi,CricketBets,betting,HIGH,verified
M1039,anonpayindia@upi,AnonPay India,crypto,HIGH,pending
M1040,speedfuelhub@upi,SpeedFuel Hub,fuel,LOW,verified
M1041,quickbazaarindia@upi,QuickBazaar India,grocery,LOW,pending
M1042,coindeal@razorpay,CoinDeal,crypto,HIGH,pending
M1043,fastcash99online@upi,FastCash99 Online,betting,HIGH,verified
M1044,techworldco@paytm,TechWorld Co,electronics,MEDIUM,verified
M1045,quickbazaarindia@paytm,QuickBazaar India,grocery,LOW,verified
M1046,xtremegaminghub@paytm,XtremeGaming Hub,gaming,MEDIUM,verified
M1047,cricketbets@easebuzz,CricketBets,betting,HIGH,rejected
M1048,gamershubonline@razorpay,GamersHub Online,gaming,MEDIUM,verified
M1049,oilstoppvt@easebuzz,OilStop Pvt,fuel,LOW,verified
M1050,cryptonowstore@easebuzz,CryptoNow Store,crypto,HIGH,pending
M1051,gamershubstore@razorpay,GamersHub Store,gaming,MEDIUM,pending
M1052,techworldstore@easebuzz,TechWorld Store,electronics,MEDIUM,verified
M1053,offshorevaultonline@razorpay,OffshoreVault Online,crypto,HIGH,verified
M1054,freshvegpvt@easebuzz,FreshVeg Pvt,grocery,LOW,verified
M1055,freshveghub@razorpay,FreshVeg Hub,grocery,LOW,verified
M1056,playzonestore@paytm,PlayZone Store,gaming,MEDIUM,verified
M1057,bookmyflightindia@upi,BookMyFlight India,travel,LOW,verified
M1058,betmasterco@easebuzz,BetMaster Co,betting,HIGH,pending
M1059,offshorevault63@paytm,OffshoreVault 63,crypto,HIGH,verified
M1060,playzoneonline@upi,PlayZone Online,gaming,MEDIUM,verified
M1061,jetsetgohub@easebuzz,JetSetGo Hub,travel,LOW,verified
M1062,jetsetgoonline@razorpay,JetSetGo Online,travel,LOW,verified
M1063,techworldstore@razorpay,TechWorld Store,electronics,MEDIUM,verified
M1064,coindealco@razorpay,CoinDeal Co,crypto,HIGH,verified
M1065,leveluppvt@upi,LevelUp Pvt,gaming,MEDIUM,verified
M1066,coindealstore@razorpay,CoinDeal Store,crypto,HIGH,rejected
M1067,gamershubstore@upi,GamersHub Store,gaming,MEDIUM,verified
M1068,jetsetgo@upi,JetSetGo,travel,LOW,verified
M1069,betkingstore@upi,BetKing Store,betting,HIGH,pending
M1070,levelup97@paytm,LevelUp 97,gaming,MEDIUM,pending
M1071,digitalmartstore1@easebuzz,DigitalMart Store,electronics,MEDIUM,verified
M1072,fastcash99pvt@paytm,FastCash99 Pvt,betting,HIGH,verified
M1073,fastcash99india@paytm,FastCash99 India,betting,HIGH,pending
M1074,fastcash99@upi,FastCash99,betting,HIGH,verified
M1075,shopmartstore@paytm,ShopMart Store,grocery,LOW,rejected
M1076,digitalmartonline@upi,DigitalMart Online,electronics,MEDIUM,pending
M1077,bookmyflight49@easebuzz,BookMyFlight 49,travel,LOW,verified
M1078,petrolpointonline@razorpay,PetrolPoint Online,fuel,LOW,verified
M1079,cryptonowindia@upi,CryptoNow India,crypto,HIGH,pending
M1080,bookmyflightindia1@upi,BookMyFlight India,travel,LOW,verified
M1081,levelupindia@upi,LevelUp India,gaming,MEDIUM,verified
M1082,playzone58@razorpay,PlayZone 58,gaming,MEDIUM,verified
M1083,bitswapstore@easebuzz,BitSwap Store,crypto,HIGH,verified
M1084,tripeasystore@upi,TripEasy Store,travel,LOW,verified
M1085,oilstopco@upi,OilStop Co,fuel,LOW,pending
M1086,offshorevaultindia@paytm,OffshoreVault India,crypto,HIGH,verified
M1087,digitalmartstore2@easebuzz,DigitalMart Store,electronics,MEDIUM,verified
M1088,cryptonowstore1@easebuzz,CryptoNow Store,crypto,HIGH,rejected
M1089,shadowmart65@easebuzz,ShadowMart 65,grocery,LOW,verified
M1090,gamershubonline1@razorpay,GamersHub Online,gaming,MEDIUM,verified
M1091,coindealindia@upi,CoinDeal India,crypto,HIGH,rejected
M1092,petrolpoint@razorpay,PetrolPoint,fuel,LOW,verified
M1093,gamershubpvt@easebuzz,GamersHub Pvt,gaming,MEDIUM,verified
M1094,shopmartstore@upi,ShopMart Store,grocery,LOW,rejected
M1095,digitalmart56@paytm,DigitalMart 56,electronics,MEDIUM,verified
M1096,winnersbethub@razorpay,WinnersBet Hub,betting,HIGH,rejected
M1097,cricketbetshub@easebuzz,CricketBets Hub,betting,HIGH,rejected
M1098,shopmartonline@paytm,ShopMart Online,grocery,LOW,verified
M1099,oilstopstore@razorpay,OilStop Store,fuel,LOW,verified
M1100,gamershubonline@paytm,GamersHub Online,gaming,MEDIUM,verified
M1101,betmaster70@easebuzz,BetMaster 70,betting,HIGH,verified
M1102,coindealhub@easebuzz,CoinDeal Hub,crypto,HIGH,pending
M1103,bitswap@upi,BitSwap,crypto,HIGH,verified
M1104,speedfuelstore@easebuzz,SpeedFuel Store,fuel,LOW,verified
M1105,betkingindia@paytm,BetKing India,betting,HIGH,rejected
M1106,tripeasyco@upi,TripEasy Co,travel,LOW,verified
M1107,cryptoedgeonline@paytm,CryptoEdge Online,crypto,HIGH,verified
M1108,gamershub15@paytm,GamersHub 15,gaming,MEDIUM,verified
M1109,quickbazaar20@razorpay,QuickBazaar 20,grocery,LOW,verified
M1110,techworldonline@easebuzz,TechWorld Online,electronics,MEDIUM,rejected
M1111,xtremegaming32@upi,XtremeGaming 32,gaming,MEDIUM,verified
M1112,petrolpointpvt@paytm,PetrolPoint Pvt,fuel,LOW,verified
M1113,shopmarthub@razorpay,ShopMart Hub,grocery,LOW,verified
M1114,cricketbetsstore@easebuzz,CricketBets Store,betting,HIGH,rejected
M1115,rapidbet58@razorpay,RapidBet 58,betting,HIGH,pending
M1116,speedfuelonline@easebuzz,SpeedFuel Online,fuel,LOW,pending
M1117,bitswapco@easebuzz,BitSwap Co,crypto,HIGH,verified
M1118,winnersbet@razorpay,WinnersBet,betting,HIGH,rejected
M1119,freshvegonline@easebuzz,FreshVeg Online,grocery,LOW,rejected
M1120,gamershubpvt1@easebuzz,GamersHub Pvt,gaming,MEDIUM,rejected
M1121,betmasterhub@paytm,BetMaster Hub,betting,HIGH,rejected
M1122,quickbazaarindia@easebuzz,QuickBazaar India,grocery,LOW,verified
M1123,gadgetzoneonline@upi,GadgetZone Online,electronics,MEDIUM,verified
M1124,bookmyflighthub@easebuzz,BookMyFlight Hub,travel,LOW,verified
M1125,speedfuelonline@razorpay,SpeedFuel Online,fuel,LOW,verified
M1126,playzone98@paytm,PlayZone 98,gaming,MEDIUM,verified
M1127,winnersbetstore@upi,WinnersBet Store,betting,HIGH,rejected
M1128,shopmartindia@paytm,ShopMart India,grocery,LOW,verified
M1129,bitswapstore@paytm,BitSwap Store,crypto,HIGH,verified
M1130,freshvegstore@razorpay,FreshVeg Store,grocery,LOW,verified
