transaction_id,sender_customer_id,sender_account_id,sender_vpa,receiver_vpa,receiver_customer_id,receiver_type,amount,currency,transaction_type,timestamp,status,channel,device_id,location_id,upi_app,is_fraud
T10304,C1054,A2054,ritika464@upi,simran321@oksbi,C1074,customer,3219.89,INR,P2P,25-03-2026 20:50,failed,intent,D1083,L7844,GPay,0
T10380,C1048,A2048,meena495@oksbi,oilstopco2@upi,,merchant,435.35,INR,P2M,07-04-2026 22:40,success,mobile_app,D7693,L3391,GPay,0
T10374,C1033,A2033,simran143@ybl,bitswap18@upi,,merchant,208.34,INR,P2M,19-03-2026 23:08,success,mobile_app,D4010,L8264,PhonePe,0
T10018,C1054,A2054,ritika464@upi,sunita92@upi,C1007,customer,4990.52,INR,P2P,26-03-2026 16:40,success,mobile_app,D7819,L6241,Paytm,1
T10369,C1022,A2022,arun836@okicici,deepa120@okicici,C1075,customer,173.55,INR,P2P,24-03-2026 02:53,success,QR,D9941,L7943,BHIM,0
T10438,C1003,A2003,sunita6@ybl,suresh150@oksbi,C1014,customer,3856.44,INR,collect_request,01-04-2026 11:44,success,mobile_app,D3992,L5187,GPay,0
T10137,C1049,A2049,kavita943@oksbi,anjali628@okaxis,C1041,customer,254.59,INR,P2P,31-03-2026 21:55,pending,intent,D5314,L9918,PhonePe,0
T10014,C1009,A2009,sachin13@ybl,mule734@okaxis,,customer,4075.69,INR,P2P,23-03-2026 03:44,success,intent,D9336,L1042,GPay,1
T10288,C1002,A2002,ritika325@upi,gamershubindia@upi,,merchant,75.22,INR,P2M,13-04-2026 00:45,success,QR,D9791,L3440,PhonePe,0
T10298,C1036,A2036,amit613@apl,techworld@paytm,,merchant,163.12,INR,P2M,21-03-2026 04:23,success,intent,D3881,L3589,GPay,0
T10059,C1023,A2023,kavita618@okhdfcbank,sunita90@okicici,C1005,customer,221.65,INR,P2P,29-03-2026 14:52,success,QR,D2009,L3476,GPay,0
T10086,C1045,A2045,deepa765@okhdfcbank,quickbuckshub@upi,,merchant,2483.95,INR,P2M,25-03-2026 00:08,success,mobile_app,D1359,L9267,PhonePe,0
T10172,C1034,A2034,deepa675@okicici,digitalmartstore@upi,,merchant,8028.77,INR,P2M,07-04-2026 17:36,pending,mobile_app,D4012,L1378,PhonePe,0
T10011,C1012,A2012,manoj174@paytm,ankit756@okhdfcbank,C1062,customer,1995.2,INR,P2P,25-03-2026 05:19,success,intent,D6900,L1908,BHIM,1
T10081,C1052,A2052,mohan534@apl,arun753@apl,C1025,customer,434.41,INR,P2P,09-04-2026 20:23,pending,mobile_app,D6183,L3954,GPay,0
T10143,C1057,A2057,simran169@okhdfcbank,petrolpointpvt@paytm,,merchant,5242.72,INR,P2M,15-04-2026 22:06,success,mobile_app,D9369,L5333,PhonePe,0
T10228,C1064,A2064,rahul220@okhdfcbank,speedfuelonline@upi,,merchant,400.43,INR,P2M,03-04-2026 08:08,success,QR,D1408,L3930,BHIM,0
T10436,C1072,A2072,divya834@ybl,techworldindia@easebuzz,,merchant,387.75,INR,P2M,27-03-2026 08:41,failed,mobile_app,D5504,L4371,PhonePe,0
T10004,C1008,A2008,swati612@upi,mule734@okaxis,,customer,2289.72,INR,P2P,08-04-2026 11:50,success,intent,D1901,L6067,PhonePe,1
T10094,C1011,A2011,ritika573@okhdfcbank,meena352@apl,C1051,customer,204.23,INR,collect_request,06-04-2026 08:40,success,intent,D8835,L7909,PhonePe,0
T10230,C1057,A2057,simran169@okhdfcbank,anonpayonline@upi,,merchant,1767.76,INR,P2M,26-03-2026 09:34,success,QR,D7235,L1719,PhonePe,0
T10222,C1061,A2061,anjali674@paytm,speedfuelstore@paytm,,merchant,430.76,INR,P2M,11-04-2026 11:51,success,QR,D3253,L3683,PhonePe,0
T10204,C1042,A2042,manoj694@paytm,anjali283@paytm,C1015,customer,417.71,INR,P2P,16-04-2026 21:00,success,mobile_app,D7266,L1886,Paytm,0
T10308,C1009,A2009,sachin13@ybl,speedfuelco@easebuzz,,merchant,360.84,INR,P2M,17-04-2026 08:53,success,intent,D4393,L2326,Paytm,0
T10074,C1038,A2038,swati810@upi,anjali276@ybl,C1013,customer,8418.8,INR,P2P,05-04-2026 19:17,pending,intent,D5631,L5890,GPay,0
T10483,C1053,A2053,meena100@apl,cricketbets51@upi,,merchant,388.68,INR,P2M,19-03-2026 18:21,success,intent,D1527,L3279,PhonePe,0
T10080,C1060,A2060,deepa415@okicici,coindeal10@upi,,merchant,335.48,INR,P2M,11-04-2026 22:22,failed,mobile_app,D7253,L9680,Paytm,0
T10484,C1042,A2042,manoj694@paytm,tripeasy70@razorpay,,merchant,409.62,INR,P2M,28-03-2026 13:11,pending,QR,D2043,L9757,BHIM,0
T10252,C1042,A2042,manoj694@paytm,xtremegaminghub@upi,,merchant,7416.09,INR,P2M,10-04-2026 05:51,failed,intent,D3159,L2522,BHIM,0
T10133,C1009,A2009,sachin13@ybl,bitswap18@upi,,merchant,8646.29,INR,P2M,16-04-2026 06:43,success,mobile_app,D1600,L5269,BHIM,0
T10039,C1011,A2011,ritika573@okhdfcbank,sunita90@okicici,C1005,customer,8464.21,INR,collect_request,15-04-2026 11:53,success,QR,D7471,L9128,GPay,0
T10163,C1065,A2065,suresh721@oksbi,anonpayco@easebuzz,,merchant,149.94,INR,P2M,13-04-2026 21:18,success,mobile_app,D9232,L6689,BHIM,0
T10201,C1036,A2036,amit613@apl,speedfuelstore1@easebuzz,,merchant,282.92,INR,P2M,29-03-2026 01:33,pending,QR,D1355,L5521,PhonePe,0
T10279,C1011,A2011,ritika573@okhdfcbank,bitswaphub@razorpay,,merchant,2169.17,INR,P2M,27-03-2026 14:32,success,mobile_app,D4018,L5150,Paytm,0
T10267,C1067,A2067,meena202@apl,betking@easebuzz,,merchant,147713.57,INR,P2M,17-04-2026 06:03,success,mobile_app,D5017,L8740,GPay,0
T10076,C1007,A2007,sunita92@upi,oilstopstore@upi,,merchant,8221.27,INR,P2M,19-03-2026 20:56,success,intent,D9148,L5843,Paytm,0
T10013,C1018,A2018,ritika508@okhdfcbank,xr6882@okaxis,,customer,12985.75,INR,collect_request,26-03-2026 14:29,success,QR,D2685,L2889,PhonePe,1
T10071,C1020,A2020,rahul341@paytm,xtremegaminghub@paytm,,merchant,3327.94,INR,P2M,26-03-2026 13:04,success,intent,D4511,L4626,PhonePe,0
T10418,C1052,A2052,mohan534@apl,shopmartonline@upi,,merchant,9566.56,INR,P2M,25-03-2026 16:53,success,mobile_app,D9476,L2140,GPay,0
T10138,C1048,A2048,meena495@oksbi,petrolpointco@paytm,,merchant,4287.67,INR,P2M,29-03-2026 10:58,success,intent,D7649,L6781,Paytm,0
T10211,C1039,A2039,nikhil832@oksbi,sunita687@apl,C1068,customer,60.24,INR,P2P,31-03-2026 04:38,success,intent,D8913,L3315,GPay,0
T10102,C1046,A2046,sanjay401@apl,jetsetgopvt@upi,,merchant,8349.3,INR,P2M,10-04-2026 14:31,success,intent,D6952,L8414,GPay,0
T10314,C1037,A2037,manoj548@paytm,gamershub91@easebuzz,,merchant,357.08,INR,P2M,19-03-2026 16:18,success,QR,D4097,L2031,GPay,0
T10285,C1042,A2042,manoj694@paytm,speedfuel@upi,,merchant,4605.53,INR,P2M,04-04-2026 03:28,success,mobile_app,D8530,L5750,PhonePe,0
T10345,C1066,A2066,manoj819@okicici,meena352@apl,C1051,customer,1765.05,INR,P2P,26-03-2026 19:51,pending,mobile_app,D6959,L4261,Paytm,0
T10272,C1022,A2022,arun836@okicici,coindealstore@easebuzz,,merchant,365.35,INR,P2M,22-03-2026 17:36,success,mobile_app,D3525,L9125,BHIM,0
T10458,C1074,A2074,simran321@oksbi,playzonehub@upi,,merchant,488.54,INR,P2M,21-03-2026 19:02,success,mobile_app,D2015,L8240,GPay,0
T10357,C1073,A2073,arjun605@oksbi,gamershubstore@razorpay,,merchant,307.64,INR,P2M,11-04-2026 18:00,success,intent,D6563,L3730,Paytm,0
T10373,C1035,A2035,nikhil809@paytm,playzoneindia@upi,,merchant,8408.78,INR,P2M,03-04-2026 18:55,failed,intent,D7920,L2644,PhonePe,0
T10437,C1074,A2074,simran321@oksbi,winnersbethub2@razorpay,,merchant,413.11,INR,P2M,19-03-2026 18:22,success,QR,D8160,L3957,BHIM,0
T10248,C1042,A2042,manoj694@paytm,shadowmartindia@paytm,,merchant,70.76,INR,P2M,02-04-2026 18:56,success,intent,D4438,L6257,PhonePe,0
T10091,C1061,A2061,anjali674@paytm,fastcash99hub1@easebuzz,,merchant,51.23,INR,P2M,11-04-2026 14:56,success,mobile_app,D2475,L9383,GPay,0
T10032,C1029,A2029,manoj185@okaxis,digitalmartstore@razorpay,,merchant,5677.83,INR,P2M,15-04-2026 19:55,success,mobile_app,D9280,L3187,BHIM,0
