transaction_id,actual_fraud,predicted_fraud,fraud_probability,status,correct_prediction,amount,receiver_type,txn_count_1h,txn_count_24h,avg_amount_7d,high_amount_flag,night_txn_flag,collect_request_flag,unique_receivers
T10450,0,0,0.00014701216,True Negative,1,150.49,1,1,1,0.0,0,0,0,2
T10084,0,0,9.659718e-05,True Negative,1,8837.83,1,1,1,0.0,0,1,0,3
T10266,0,0,0.00011854276,True Negative,1,5539.55,1,1,1,2217.2485714285713,0,1,0,8
T10069,0,0,9.266434e-05,True Negative,1,2750.73,1,1,1,0.0,0,1,0,4
T10287,0,0,0.012519659,True Negative,1,8804.7,1,1,1,3170.8328571428574,0,1,0,7
T10280,0,0,0.00021078295,True Negative,1,1673.79,1,1,1,0.0,0,1,0,5
T10255,0,0,0.0009472783,True Negative,1,288.59,0,1,3,0.0,0,0,0,6
T10159,0,0,0.0009194363,True Negative,1,162.9,1,1,4,558.6899999999999,0,0,0,8
T10120,0,0,5.0528168e-05,True Negative,1,4794.3,0,1,1,0.0,0,0,0,2
T10241,0,0,7.429491e-05,True Negative,1,4824.47,0,2,2,0.0,0,0,0,3
T10469,0,0,0.0070672603,True Negative,1,267.91,0,1,2,2069.7042857142856,0,0,0,9
T10174,0,1,0.75887024,False Positive,0,8984.55,0,1,2,4402.112857142857,0,0,0,8
T10056,0,0,0.0006029242,True Negative,1,5079.06,1,1,1,0.0,0,0,0,4
T10190,0,0,0.014241317,True Negative,1,3573.23,0,1,1,2854.3314285714287,0,0,0,9
T10463,0,0,0.0024627459,True Negative,1,398.12,0,1,1,0.0,0,0,0,5
T10361,0,0,0.0013258088,True Negative,1,278.88,1,1,1,0.0,0,0,0,5
T10125,0,0,0.0020809814,True Negative,1,90070.82,1,1,2,0.0,1,0,0,6
T10314,0,0,0.0001514196,True Negative,1,75.22,1,1,1,0.0,0,1,0,5
T10454,0,0,0.00012486441,True Negative,1,409.56,1,1,1,3638.2114285714283,0,1,0,8
T10154,0,0,0.00015276411,True Negative,1,81.27,1,1,1,1318.3728571428571,0,1,0,8
T10233,0,0,0.00014935271,True Negative,1,380.52,1,1,1,1570.3457142857144,0,1,0,8
T10111,0,0,0.0007600464,True Negative,1,5311.28,0,1,1,2395.992857142857,0,1,0,10
T10323,0,0,0.00077805936,True Negative,1,286.09,1,1,1,2325.104285714286,0,0,0,11
T10257,0,0,0.31805494,True Negative,1,2299.12,0,1,1,6251.605714285715,0,0,0,7
T10396,0,0,0.025216034,True Negative,1,245.63,0,1,1,3927.7057142857143,0,0,0,8
T10383,0,0,0.0034736423,True Negative,1,447.53,1,1,1,11179.341428571428,0,0,0,10
T10319,0,0,0.005199313,True Negative,1,3477.92,1,1,1,10918.635714285714,0,0,0,8
T10222,0,0,0.0031559814,True Negative,1,391.56,1,1,1,1542.077142857143,0,0,0,6
T10035,0,0,0.34910446,True Negative,1,122754.26,1,1,1,49890.91714285714,1,0,0,8
